filename,opencv_count,opencv_time_ms,nano_count,nano_time_ms
001.jpg,189,54.5861,156,51.9183
002.jpg,169,41.0847,150,41.2673
003.jpg,173,41.5885,144,40.7917
004.jpg,178,41.115,159,40.8321
005.jpg,206,41.5203,142,42.061
006.jpg,175,46.1246,151,47.1246
007.jpg,180,50.7611,155,50.4021
008.jpg,173,48.5591,145,48.2481
009.jpg,176,52.2933,153,52.5603
010.jpg,160,49.6758,143,49.4356
011.jpg,180,39.913,158,39.4695
012.jpg,166,38.0875,141,39.3535
013.jpg,180,49.6684,156,50.2376
014.jpg,179,52.9117,157,52.5023
015.jpg,155,50.6323,129,51.8037
016.jpg,159,37.8561,134,37.7731
017.jpg,182,43.049,159,40.2802
018.jpg,183,41.1641,162,42.5264
019.jpg,172,46.5457,149,45.7995
020.jpg,159,42.6196,125,42.1453
021.jpg,180,52.1845,132,52.8904
022.jpg,156,44.7753,125,44.2823
023.jpg,179,37.5083,153,37.8059
024.jpg,156,35.9534,131,35.5342
025.jpg,169,38.5057,140,38.1594
026.jpg,195,36.2587,168,36.8137
027.jpg,164,34.35,140,34.4475
028.jpg,179,36.8896,151,36.4735
029.jpg,175,38.2749,144,39.1144
030.jpg,168,37.5071,143,37.8532
031.jpg,161,34.6098,138,36.0211
032.jpg,164,39.3963,141,40.2514
033.jpg,164,35.1937,137,36.0561
034.jpg,185,34.7135,163,34.6113
035.jpg,178,35.642,159,36.7802
036.jpg,189,38.742,166,39.5156
037.jpg,161,40.215,138,46.1129
038.jpg,172,36.5699,150,36.6968
039.jpg,170,37.9516,151,38.2997
040.jpg,177,41.4343,159,43.0069
041.jpg,170,35.8349,144,35.9535
042.jpg,187,35.8231,163,36.429
043.jpg,172,38.6259,146,38.4555
044.jpg,169,36.3617,143,36.3817
045.jpg,173,34.7682,146,34.2219
046.jpg,176,34.3093,155,34.754
047.jpg,171,34.6367,151,34.875
048.jpg,178,34.4955,153,34.9016
049.jpg,172,33.6483,147,33.9864
050.jpg,180,34.2018,160,34.8819
051.jpg,168,35.2227,141,35.1591
052.jpg,177,34.4361,148,34.0347
053.jpg,161,32.3549,139,32.4728
054.jpg,176,34.8338,161,34.731
055.jpg,186,34.2178,163,34.8134
056.jpg,173,32.9412,143,34.2598
057.jpg,170,36.235,139,35.3559
058.jpg,167,35.3927,143,35.3876
059.jpg,158,33.5741,136,33.808
060.jpg,180,33.8404,157,33.4943
061.jpg,174,33.4898,149,33.0542
062.jpg,169,34.6646,142,35.3455
063.jpg,170,32.9473,145,33.8727
064.jpg,180,33.1031,149,33.2575
065.jpg,170,34.4484,147,35.7757
066.jpg,174,34.132,148,33.7549
067.jpg,180,31.1893,162,31.8017
068.jpg,173,33.6352,152,33.6539
069.jpg,166,32.5771,139,32.8903
070.jpg,169,30.9708,139,31.308
071.jpg,178,32.8096,161,34.5623
072.jpg,174,33.4239,157,33.8115
073.jpg,170,33.4987,141,35.4364
074.jpg,181,31.9469,156,32.4896
075.jpg,164,34.1807,137,34.5573
076.jpg,160,34.0951,139,34.6708
077.jpg,155,36.1352,124,36.7194
078.jpg,178,36.2268,148,36.1019
079.jpg,174,38.3782,153,38.5768
080.jpg,175,36.0494,149,36.2784
081.jpg,178,35.827,152,36.124
082.jpg,171,35.4821,138,36.4372
083.jpg,160,35.5638,130,35.7162
084.jpg,166,35.1936,143,35.5667
085.jpg,159,34.7698,137,34.9935
086.jpg,175,36.0972,148,36.5873
087.jpg,160,35.7069,143,35.6832
088.jpg,180,32.6953,163,33.332
089.jpg,168,33.5581,146,34.0233
090.jpg,175,35.0901,149,35.2644
091.jpg,154,35.2935,137,34.6089
092.jpg,156,34.079,133,34.5295
093.jpg,153,33.5544,131,33.7639
094.jpg,166,33.1197,143,33.2637
095.jpg,163,32.422,145,32.8435
096.jpg,164,33.2266,149,34.411
097.jpg,111,34.1357,69,34.4071
098.jpg,107,39.9057,67,39.7187
099.jpg,149,33.6379,130,33.6582
100.jpg,156,35.8303,142,35.3624
101.jpg,145,35.3235,128,35.6904
102.jpg,141,37.4364,122,37.298
103.jpg,161,35.8387,133,35.9613
104.jpg,135,35.8718,114,35.4131
105.jpg,141,36.5575,120,37.1732
106.jpg,159,34.2484,138,34.3263
107.jpg,149,32.5477,123,33.3363
108.jpg,136,32.5689,117,34.0363
109.jpg,125,33.7283,104,34.9573
110.jpg,115,34.3989,98,34.9621
111.jpg,123,38.2442,103,38.8483
112.jpg,119,37.6416,96,38.611
113.jpg,111,36.0495,93,36.6301
114.jpg,141,44.452,117,44.8422
115.jpg,135,48.2715,116,49.8868
116.jpg,128,39.6146,106,40.3101
117.jpg,110,44.7108,97,45.2492
118.jpg,112,41.5345,88,41.9295
119.jpg,123,53.4822,94,53.2175
120.jpg,112,50.655,88,50.1307
121.jpg,115,57.3049,93,57.7816
122.jpg,110,52.1109,90,53.0167
123.jpg,125,58.2274,98,58.5567
124.jpg,100,39.8545,80,40.5609
125.jpg,63,33.9176,54,34.081
126.jpg,83,34.3431,61,34.0333
127.jpg,118,35.3206,106,35.5481
128.jpg,118,39.4628,107,39.3007
129.jpg,116,39.2509,108,40.2551
130.jpg,112,35.8112,100,36.1969
131.jpg,133,38.7739,121,39.8178
132.jpg,132,40.4882,112,40.7602
133.jpg,131,45.9727,116,42.713
134.jpg,132,49.3813,116,50.1111
135.jpg,145,46.926,135,47.458
136.jpg,169,35.8999,156,37.49
137.jpg,187,37.0742,172,37.3608
138.jpg,198,34.912,180,34.3573
139.jpg,199,31.6004,178,31.3733
140.jpg,200,35.3986,179,36.3823
141.jpg,205,33.4482,185,33.3072
142.jpg,206,34.0113,184,34.1952
143.jpg,201,34.2053,180,33.7219
144.jpg,207,34.6004,182,34.9875
145.jpg,207,34.427,181,34.4286
146.jpg,202,34.6423,180,35.1892
147.jpg,203,34.331,185,34.1708
148.jpg,207,33.7608,185,35.2401
149.jpg,203,32.4567,174,32.266
150.jpg,198,35.3484,165,35.6195
151.jpg,200,35.0582,165,34.9396
152.jpg,107,34.0745,66,34.1891
153.jpg,103,33.0962,62,33.3992
154.jpg,145,35.7393,109,36.2982
155.jpg,118,36.721,78,37.1506
156.jpg,127,39.5055,81,39.8011
157.jpg,139,35.4112,107,37.0208
158.jpg,136,32.7605,105,32.9895
159.jpg,163,30.6403,139,31.1417
160.jpg,169,29.5708,140,30.4942
161.jpg,178,30.089,153,30.3608
162.jpg,180,29.9729,155,30.184
163.jpg,160,30.6911,131,30.8523
164.jpg,176,29.3556,149,30.5485
165.jpg,180,31.4169,147,32.0314
166.jpg,176,29.6708,157,29.6947
167.jpg,193,31.501,156,31.6644
168.jpg,172,30.7363,140,30.7617
169.jpg,137,32.0913,112,32.4154
170.jpg,140,31.0075,120,31.5032
171.jpg,160,32.6057,130,32.4021
172.jpg,167,32.2132,144,33.2582
173.jpg,138,30.6025,114,30.6274
174.jpg,0,18.1647,0,18.4166
175.jpg,0,17.9474,0,18.5927
176.jpg,0,17.9686,0,18.8339
177.jpg,0,17.5221,0,18.3799
178.jpg,0,18.3326,0,18.4736
179.jpg,0,17.8962,0,18.4734
180.jpg,0,18.2306,0,18.3596
181.jpg,0,17.6903,0,18.3764
182.jpg,0,17.2786,0,18.0954
183.jpg,0,17.4971,0,17.5145
184.jpg,0,17.0595,0,17.7352
185.jpg,0,16.9303,0,17.6352
186.jpg,0,17.1576,0,18.7498
187.jpg,0,17.6222,0,17.8996
188.jpg,0,17.0234,0,17.8364
189.jpg,0,17.89,0,18.0581
190.jpg,0,17.7076,0,18.4314
191.jpg,0,17.5261,0,18.4292
192.jpg,0,17.7478,0,17.628
193.jpg,0,17.7416,0,17.7486
194.jpg,0,17.272,0,17.6754
195.jpg,0,17.4588,0,17.7912
196.jpg,0,18.0491,0,17.8398
197.jpg,0,17.6599,0,17.9231
198.jpg,0,16.8222,0,17.2818
199.jpg,0,17.7253,0,18.3754
200.jpg,0,17.5714,0,17.9054
